optim,nbodies,ms,fps
B-H 0,500,956.868,31.3523
B-H 0,1000,4133.1,7.25848
B-H 0,2000,18693.8,1.60481
B-H 0,3000,44140.3,0.679651
B-H 0,4000,87724.0,0.341982
B-H 0,5000,156530.0,0.191656
B-H 0.29,500,459.279,65.3198
B-H 0.29,1000,1446.16,20.7447
B-H 0.29,2000,4395.86,6.8246
B-H 0.29,3000,8170.38,3.6718
B-H 0.29,4000,13015.9,2.30488
B-H 0.29,5000,18882.6,1.58876
B-H 0.5,500,217.359,138.021
B-H 0.5,1000,613.862,48.8709
B-H 0.5,2000,1678.95,17.8683
B-H 0.5,3000,3086.26,9.72051
B-H 0.5,4000,4618.04,6.49626
B-H 0.5,5000,6350.09,4.72434
B-H 0.75,500,119.88,250.25
B-H 0.75,1000,310.361,96.6616
B-H 0.75,2000,749.572,40.0228
B-H 0.75,3000,1306.67,22.9591
B-H 0.75,4000,1985.86,15.1068
B-H 0.75,5000,2655.64,11.2967
B-H 1,500,92.929,322.827
B-H 1,1000,190.054,157.85
B-H 1,2000,452.427,66.309
B-H 1,3000,787.097,38.1147
B-H 1,4000,1184.52,25.3268
B-H 1,5000,1591.72,18.8476
B-H 1.5,500,45.654,657.117
B-H 1.5,1000,103.685,289.338
B-H 1.5,2000,224.216,133.8
B-H 1.5,3000,347.087,86.4337
B-H 1.5,4000,516.484,58.0851
B-H 1.5,5000,715.005,41.9577
simd,500,19.69,1523.62
simd,1000,76.797,390.64
simd,2000,303.98,98.6907
simd,3000,681.366,44.0292
simd,4000,1210.77,24.7776
simd,5000,1892.4,15.8529
